2026-04-25 12:13:45 | INFO     | src.feature_engineering | Sentiment merged: ['sentiment_mean', 'sentiment_std', 'news_count', 'positive_ratio', 'negative_ratio']
2026-04-25 12:13:45 | INFO     | src.feature_engineering | Features built: 49 columns, 1926 rows (dropped 49 NaN rows).
2026-04-25 12:13:45 | INFO     | src.preprocessing | Split → train=1348 [2016-03-14→2021-08-30]  val=289 [2021-08-31→2022-10-28]  test=289 [2022-10-31→2023-12-29]
2026-04-25 12:13:45 | INFO     | src.preprocessing | Scaler fitted on 1348 training rows.
2026-04-25 12:13:45 | INFO     | src.models.base_model | [LinearRegression] MAE=0.0031  RMSE=0.0046  MAPE=2.97%  R²=0.9997
2026-04-25 12:13:45 | INFO     | src.models.linear_model | Linear Regression trained.  Train R²=0.9997
2026-04-25 12:13:45 | INFO     | src.evaluation | [Linear Regression] MAE=4.5023 RMSE=5.7925 MAPE=0.39% R²=0.9933
2026-04-25 12:17:51 | INFO     | src.evaluation | [Linear Regression] Backtest → Return=-8.0%  B&H=16.3%  Sharpe=-0.67  MaxDD=-15.1%
2026-04-25 12:18:06 | INFO     | src.data_collection | Loading cached data: RELIANCE_2016-01-01_2023-12-31.parquet
2026-04-25 12:18:06 | INFO     | src.data_collection | Validated RELIANCE: 1975 rows, 2016-01-01 → 2023-12-29
2026-04-25 12:18:06 | WARNING  | src.preprocessing | Winsorised 2 outliers in column 'Close'.
2026-04-25 12:18:06 | WARNING  | src.preprocessing | Winsorised 16 outliers in column 'Volume'.
2026-04-25 12:18:06 | INFO     | src.preprocessing | Cleaned DataFrame: 1975 rows, NaN remaining: 1
2026-04-25 12:18:06 | INFO     | src.feature_engineering | Sentiment merged: ['sentiment_mean', 'sentiment_std', 'news_count', 'positive_ratio', 'negative_ratio']
2026-04-25 12:18:06 | INFO     | src.feature_engineering | Features built: 49 columns, 1926 rows (dropped 49 NaN rows).
2026-04-25 12:18:06 | INFO     | src.preprocessing | Split → train=1348 [2016-03-14→2021-08-30]  val=289 [2021-08-31→2022-10-28]  test=289 [2022-10-31→2023-12-29]
2026-04-25 12:18:06 | INFO     | src.preprocessing | Scaler fitted on 1348 training rows.
2026-04-25 12:18:06 | INFO     | src.models.base_model | [LinearRegression] MAE=0.0031  RMSE=0.0046  MAPE=2.97%  R²=0.9997
2026-04-25 12:18:06 | INFO     | src.models.linear_model | Linear Regression trained.  Train R²=0.9997
2026-04-25 12:18:06 | INFO     | src.evaluation | [Linear Regression] MAE=4.5023 RMSE=5.7925 MAPE=0.39% R²=0.9933
2026-04-25 12:18:07 | INFO     | src.models.base_model | [RandomForest] MAE=0.0024  RMSE=0.0040  MAPE=1.04%  R²=0.9998
2026-04-25 12:18:07 | INFO     | src.models.rf_model | Random Forest trained.  OOB R²=0.9992  Train R²=0.9998
2026-04-25 12:18:07 | INFO     | src.evaluation | [Random Forest] MAE=132.1718 RMSE=148.2317 MAPE=11.13% R²=-3.4053
2026-04-25 12:19:52 | INFO     | src.database | Database initialised at F:\PROJECTS\PYTHON\stock_predictor\data\stock_predictor.db
2026-04-25 12:20:01 | INFO     | src.data_collection | Loading cached data: RELIANCE_2016-01-01_2023-12-31.parquet
2026-04-25 12:20:01 | INFO     | src.data_collection | Validated RELIANCE: 1975 rows, 2016-01-01 → 2023-12-29
2026-04-25 12:20:01 | WARNING  | src.preprocessing | Winsorised 2 outliers in column 'Close'.
2026-04-25 12:20:01 | WARNING  | src.preprocessing | Winsorised 16 outliers in column 'Volume'.
2026-04-25 12:20:01 | INFO     | src.preprocessing | Cleaned DataFrame: 1975 rows, NaN remaining: 1
2026-04-25 12:20:01 | INFO     | src.feature_engineering | Sentiment merged: ['sentiment_mean', 'sentiment_std', 'news_count', 'positive_ratio', 'negative_ratio']
2026-04-25 12:20:01 | INFO     | src.feature_engineering | Features built: 49 columns, 1926 rows (dropped 49 NaN rows).
2026-04-25 12:20:01 | INFO     | src.preprocessing | Split → train=1348 [2016-03-14→2021-08-30]  val=289 [2021-08-31→2022-10-28]  test=289 [2022-10-31→2023-12-29]
2026-04-25 12:20:01 | INFO     | src.preprocessing | Scaler fitted on 1348 training rows.
2026-04-25 12:20:03 | INFO     | src.models.base_model | [XGBoost] MAE=0.0017  RMSE=0.0025  MAPE=1.52%  R²=0.9999
2026-04-25 12:20:03 | INFO     | src.models.xgb_model | XGBoost trained.  Best iter=567  Train R²=0.9999
2026-04-25 12:20:03 | INFO     | src.evaluation | [XGBoost] MAE=137.6658 RMSE=153.6150 MAPE=11.61% R²=-3.7311
2026-04-25 12:21:45 | INFO     | src.data_collection | Fetching RELIANCE.NS from Yahoo Finance (2021-01-01 → 2026-04-25)
2026-04-25 12:21:45 | INFO     | src.data_collection | Validated RELIANCE: 1312 rows, 2021-01-01 → 2026-04-24
2026-04-25 12:21:45 | INFO     | src.data_collection | Cached 1312 rows → RELIANCE_2021-01-01_2026-04-25.parquet
2026-04-25 12:21:45 | WARNING  | src.preprocessing | Winsorised 5 outliers in column 'Volume'.
2026-04-25 12:21:45 | INFO     | src.preprocessing | Cleaned DataFrame: 1312 rows, NaN remaining: 1
2026-04-25 12:21:45 | INFO     | src.feature_engineering | Sentiment merged: ['sentiment_mean', 'sentiment_std', 'news_count', 'positive_ratio', 'negative_ratio']
2026-04-25 12:21:45 | INFO     | src.feature_engineering | Features built: 49 columns, 1263 rows (dropped 49 NaN rows).
2026-04-25 12:21:45 | INFO     | src.preprocessing | Split → train=884 [2021-03-15→2024-10-11]  val=189 [2024-10-14→2025-07-16]  test=190 [2025-07-17→2026-04-24]
2026-04-25 12:21:45 | INFO     | src.preprocessing | Scaler fitted on 884 training rows.
2026-04-25 12:21:46 | INFO     | src.models.base_model | [XGBoost] MAE=0.0027  RMSE=0.0042  MAPE=0.79%  R²=0.9996
2026-04-25 12:21:46 | INFO     | src.models.xgb_model | XGBoost trained.  Best iter=155  Train R²=0.9996
2026-04-25 12:21:46 | INFO     | src.evaluation | [XGBoost] MAE=10.7722 RMSE=14.4726 MAPE=0.73% R²=0.9629
2026-04-25 12:23:18 | INFO     | src.database | Database initialised at F:\PROJECTS\PYTHON\stock_predictor\data\stock_predictor.db
2026-04-25 12:23:39 | INFO     | src.data_collection | Loading cached data: RELIANCE_2021-01-01_2025-12-31.parquet
2026-04-25 12:23:39 | INFO     | src.data_collection | Validated RELIANCE: 1235 rows, 2021-01-01 → 2025-12-30
2026-04-25 12:23:39 | WARNING  | src.preprocessing | Winsorised 5 outliers in column 'Volume'.
2026-04-25 12:23:39 | INFO     | src.preprocessing | Cleaned DataFrame: 1235 rows, NaN remaining: 1
2026-04-25 12:23:39 | INFO     | src.feature_engineering | Sentiment merged: ['sentiment_mean', 'sentiment_std', 'news_count', 'positive_ratio', 'negative_ratio']
2026-04-25 12:23:39 | INFO     | src.feature_engineering | Features built: 49 columns, 1186 rows (dropped 49 NaN rows).
2026-04-25 12:23:39 | INFO     | src.preprocessing | Split → train=830 [2021-03-15→2024-07-25]  val=178 [2024-07-26→2025-04-11]  test=178 [2025-04-15→2025-12-30]
2026-04-25 12:23:39 | INFO     | src.preprocessing | Scaler fitted on 830 training rows.
2026-04-25 12:23:40 | INFO     | src.models.base_model | [XGBoost] MAE=0.0147  RMSE=0.0211  MAPE=4.38%  R²=0.9882
2026-04-25 12:23:40 | INFO     | src.models.xgb_model | XGBoost trained.  Best iter=48  Train R²=0.9882
2026-04-25 12:23:40 | INFO     | src.evaluation | [XGBoost] MAE=21.9680 RMSE=27.2913 MAPE=1.47% R²=0.8541
2026-04-25 12:25:16 | INFO     | src.data_collection | Loading cached data: RELIANCE_2021-01-01_2025-12-31.parquet
2026-04-25 12:25:16 | INFO     | src.data_collection | Validated RELIANCE: 1235 rows, 2021-01-01 → 2025-12-30
2026-04-25 12:25:16 | WARNING  | src.preprocessing | Winsorised 5 outliers in column 'Volume'.
2026-04-25 12:25:16 | INFO     | src.preprocessing | Cleaned DataFrame: 1235 rows, NaN remaining: 1
2026-04-25 12:25:16 | INFO     | src.feature_engineering | Sentiment merged: ['sentiment_mean', 'sentiment_std', 'news_count', 'positive_ratio', 'negative_ratio']
2026-04-25 12:25:16 | INFO     | src.feature_engineering | Features built: 49 columns, 1186 rows (dropped 49 NaN rows).
2026-04-25 12:25:16 | INFO     | src.preprocessing | Split → train=830 [2021-03-15→2024-07-25]  val=178 [2024-07-26→2025-04-11]  test=178 [2025-04-15→2025-12-30]
2026-04-25 12:25:16 | INFO     | src.preprocessing | Scaler fitted on 830 training rows.
2026-04-25 12:25:16 | INFO     | src.models.base_model | [XGBoost] MAE=0.0147  RMSE=0.0211  MAPE=4.38%  R²=0.9882
2026-04-25 12:25:16 | INFO     | src.models.xgb_model | XGBoost trained.  Best iter=48  Train R²=0.9882
2026-04-25 12:25:16 | INFO     | src.evaluation | [XGBoost] MAE=21.9680 RMSE=27.2913 MAPE=1.47% R²=0.8541
2026-04-25 12:25:16 | INFO     | src.models.base_model | [LinearRegression] MAE=0.0036  RMSE=0.0048  MAPE=0.96%  R²=0.9994
